Amount of iterations, time
10, 1396.707764
20, 1340.869507
30, 1344.202881
40, 1339.475708
50, 1339.158081
60, 1345.908203
70, 1337.062500
80, 1330.907837
90, 1341.898682
100, 1335.257935
110, 1335.588379
120, 1335.127197
130, 1339.848511
140, 1339.713867
150, 1342.911743
160, 1340.447876
170, 1327.319092
180, 1341.546021
190, 1336.533936
200, 1341.127686
210, 1351.392578
220, 1354.607056
230, 1343.499756
240, 1339.619629
250, 1324.284546
260, 1338.128662
270, 1344.744141
280, 1330.286133
290, 1328.831909
300, 1342.569946
310, 1335.215210
320, 1340.800171
330, 1342.963379
340, 1323.046875
350, 1332.168091
360, 1336.590454
370, 1328.064087
380, 1345.759277
390, 1343.432983
400, 1325.812744
410, 1335.383301
420, 1337.422607
430, 1335.668579
440, 1336.739502
450, 1332.153687
460, 1332.331055
470, 1337.099609
480, 1333.120361
490, 1336.346069
500, 1333.584106
510, 1333.153931
520, 1331.389404
530, 1333.591553
540, 1336.536865
550, 1331.648315
560, 1337.704956
570, 1338.735474
580, 1328.664917
590, 1337.965820
600, 1338.029175
610, 1334.064453
620, 1341.754150
630, 1324.128784
640, 1334.662354
650, 1339.512817
660, 1336.315430
670, 1325.951294
680, 1341.644897
690, 1335.858765
700, 1329.480103
710, 1340.100830
720, 1336.155640
730, 1325.072266
740, 1342.295898
750, 1331.475586
760, 1333.518921
770, 1331.972290
780, 1331.525635
790, 1333.467896
800, 1333.614746
810, 1333.204224
820, 1333.396362
830, 1329.101562
840, 1327.028076
850, 1334.341309
860, 1333.613037
870, 1329.262085
880, 1328.891479
890, 1337.965210
900, 1322.626587
910, 1334.641968
920, 1329.925049
930, 1333.110107
940, 1331.752441
950, 1335.025879
960, 1327.118530
970, 1328.677734
980, 1331.084595
990, 1343.952148
1000, 1334.330566
1010, 1343.027466
1020, 1323.453979
1030, 1328.049683
1040, 1338.405151
1050, 1322.296875
1060, 1334.672119
1070, 1336.902466
1080, 1326.668945
1090, 1326.848755
1100, 1334.360840
1110, 1323.592041
1120, 1331.659790
1130, 1327.893921
1140, 1332.710693
1150, 1321.348633
1160, 1329.955933
1170, 1338.542847
1180, 1324.447144
1190, 1332.954834
1200, 1336.462769
1210, 1327.603027
1220, 1336.791992
1230, 1330.319946
1240, 1329.422241
1250, 1340.231079
1260, 1331.431396
1270, 1330.131226
1280, 1335.152954
1290, 1329.705444
1300, 1322.453979
1310, 1327.985718
1320, 1334.263794
1330, 1321.913574
1340, 1341.820557
1350, 1337.392212
1360, 1327.633301
1370, 1329.483398
1380, 1341.624146
1390, 1326.665771
1400, 1339.172729
1410, 1335.371338
1420, 1329.267334
1430, 1336.098389
1440, 1333.446411
1450, 1328.485474
1460, 1337.173462
1470, 1326.886719
1480, 1332.853882
1490, 1335.629028
1500, 1331.400391
1510, 1332.086304
1520, 1335.839722
1530, 1329.128296
1540, 1335.159424
1550, 1338.256104
1560, 1332.247070
1570, 1325.885254
1580, 1338.277100
1590, 1331.130981
1600, 1327.276611
1610, 1335.347290
1620, 1331.487305
1630, 1327.237427
1640, 1339.001831
1650, 1329.544189
1660, 1330.204224
1670, 1335.004883
1680, 1332.570190
1690, 1326.247803
1700, 1329.079346
1710, 1331.641235
1720, 1326.590210
1730, 1330.919189
1740, 1333.340088
1750, 1332.071655
1760, 1336.380737
1770, 1330.431274
1780, 1325.785645
1790, 1333.929932
1800, 1328.703979
1810, 1328.493774
1820, 1332.847412
1830, 1329.168213
1840, 1332.310425
1850, 1331.620483
1860, 1324.351440
1870, 1330.939697
1880, 1329.199097
1890, 1338.926880
1900, 1329.101074
1910, 1329.857056
1920, 1333.079102
1930, 1324.788696
1940, 1319.902954
1950, 1337.825562
1960, 1326.711304
1970, 1333.121094
1980, 1337.580688
1990, 1327.489624